id,address,city,housing_type,price,price_per_m2,price_diff%,area,ground_area,rooms,year_built,energy_label,monthly_cost,date_added,date_removed,days_on_sale,status,retrieved,link
1899846,"Himmerlandsvej 23, 3. tv",2720 Vanløse,Ejerlejlighed,1995000,35625,-0.2,56,0,2,1934-01-01,D,2961,2022-06-01,,150,online,2022-10-26 20:28:26,/bolig/1899846/himmerlandsvej_23_3_tv_2720_vanloese
1900025,"Jydeholmen 5, 4. tv.",2720 Vanløse,Ejerlejlighed,2795000,43671,-0.07,64,1080,2,1934-01-01,C,2544,2022-06-01,,150,online,2022-10-26 20:28:26,/bolig/1900025/jydeholmen_5_4_tv_2720_vanloese
1900534,Herlufsholmvej 27A,2720 Vanløse,Villa,4495000,88137,-0.06,51,373,2,1941-01-01,D,4239,2022-06-02,2022-10-29,147,removed,2022-10-26 20:28:26,/bolig/1900534/herlufsholmvej_27a_2720_vanloese
1900966,"Grønnehøj 15, 2. TH",2720 Vanløse,Ejerlejlighed,2595000,41190,-0.09,63,0,2,1936-01-01,D,3006,2022-06-03,,148,online,2022-10-26 20:28:26,/bolig/1900966/groennehoej_15_2_th_2720_vanloese
1901661,"Markskellet 8, 1. tv.",2720 Vanløse,Ejerlejlighed,3795000,42166,-0.05,90,0,3,1932-01-01,D,2971,2022-06-07,,144,online,2022-10-26 20:28:26,/bolig/1901661/markskellet_8_1_tv_2720_vanloese
1902762,Ørhagevej 13,2720 Vanløse,Villa,5795000,54669,-0.13,106,662,4,1934-01-01,E,5927,2022-06-09,,142,online,2022-10-26 20:28:26,/bolig/1902762/oerhagevej_13_2720_vanloese
1903233,Langdraget 21 2 tv,2720 Vanløse,Ejerlejlighed,2595000,41190,-0.04,63,0,3,1935-01-01,C,2776,2022-06-10,,141,online,2022-10-26 20:28:26,/bolig/1903233/langdraget_21_2_tv_2720_vanloese
1904524,Slotsherrensvej 95,2720 Vanløse,Villa,5750000,50438,0.0,114,539,5,1940-01-01,D,5097,2022-06-15,,136,online,2022-10-26 20:28:26,/bolig/1904524/slotsherrensvej_95_2720_vanloese
1905188,Egholmvej 24,2720 Vanløse,Villa,4995000,72391,-0.09,69,610,3,1928-01-01,D,5590,2022-06-16,,135,online,2022-10-26 20:28:26,/bolig/1905188/egholmvej_24_2720_vanloese
1905220,Bangsbovej 22,2720 Vanløse,Villa,8495000,56633,-0.06,150,297,5,1939-01-01,D,4843,2022-06-16,,135,online,2022-10-26 20:28:26,/bolig/1905220/bangsbovej_22_2720_vanloese
